,tweet_id,text,favorite_count,retweet_count,created_at
32,1398159912799064064,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:11:14 +0000 2021
33,1398159912622952452,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:11:14 +0000 2021
34,1398159912505528321,"RT @datukhensem: Bila keputusan swab dari kluster berkaitan The Spring, Kuching keluar and menunjukkan lebih 40 kes positif, pihak KKM dan…",0,3903,Fri May 28 06:11:14 +0000 2021
35,1398159911557779458,@fordnation Your one size fits all approach to lockdown isn’t working. Northern communities are suffering because o… https://t.co/gVvGSeSi5d,0,0,Fri May 28 06:11:14 +0000 2021
36,1398159911083675653,@Triveni03150704 @AbhiSinghPatel5 @drrichanegi @Ravishk356 Kisi bhi sarkar ki side lene se pehle aap kissan bill re… https://t.co/5sL2nh3J1D,0,0,Fri May 28 06:11:14 +0000 2021
37,1398159910546903043,"RT @DrRosena: Covid hospitalisations on the day we entered lockdowns: 
Mar ‘20: 3,183 
Nov ‘20: 10,994
Jan ‘21: 26,467

Health Sec and PM d…",0,555,Fri May 28 06:11:13 +0000 2021
38,1398159910290923520,"RT @ryanbatchelor: First lockdown I was shocked.
Second lockdown I was weary. 
Third lockdown I was sanguine.
Fourth lockdown I’m angry.

W…",0,803,Fri May 28 06:11:13 +0000 2021
39,1398159910165090308,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:11:13 +0000 2021
40,1398159909338992645,COVID-19: 1.5m people flew to UK in first four months of 2021 - when borders were meant to be heavily restricted… https://t.co/LXv1datTsV,0,0,Fri May 28 06:11:13 +0000 2021
41,1398159908181143556,RT @azmanrocks: Kenapa kita perlu lockdown? Sebab kita mesti kurangkan kes aktif sampailah semua PKRC tutup menjelang bulan Ogos. Bulan Sep…,0,7325,Fri May 28 06:11:13 +0000 2021
