Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,402.549988,404.799988,397.700012,400.200012,400.200012,3756453
2021-03-15,401.049988,401.100006,387.000000,395.750000,395.750000,2963338
2021-03-16,396.000000,396.000000,389.299988,391.700012,391.700012,2743146
2021-03-17,391.700012,393.600006,386.399994,388.200012,388.200012,2105069
2021-03-18,390.000000,392.950012,383.250000,389.149994,389.149994,2764770
2021-03-19,386.500000,398.000000,385.850006,395.700012,395.700012,4200208
2021-03-22,395.600006,403.399994,394.049988,402.250000,402.250000,3713607
2021-03-23,403.000000,405.700012,398.049988,400.750000,400.750000,3443734
2021-03-24,398.000000,403.399994,397.700012,402.100006,402.100006,2567380
2021-03-25,401.799988,405.799988,397.350006,398.500000,398.500000,3411079
2021-03-26,396.500000,399.000000,390.750000,395.250000,395.250000,4226903
2021-03-30,400.899994,409.500000,399.049988,408.450012,408.450012,4193149
2021-03-31,413.000000,413.399994,405.799988,408.899994,408.899994,5228409
2021-04-01,409.200012,413.200012,408.799988,410.549988,410.549988,1860699
2021-04-05,410.549988,410.549988,401.549988,406.450012,406.450012,1318706
2021-04-06,406.600006,415.549988,405.100006,414.250000,414.250000,2107437
2021-04-07,415.950012,418.500000,412.450012,414.200012,414.200012,2467709
2021-04-08,414.000000,416.549988,411.149994,413.250000,413.250000,2086999
2021-04-09,413.049988,424.399994,412.200012,420.299988,420.299988,3202010
2021-04-12,418.700012,420.500000,401.000000,404.299988,404.299988,3599430
2021-04-13,406.700012,412.350006,401.350006,406.950012,406.950012,2068043
2021-04-15,411.899994,411.899994,400.000000,404.600006,404.600006,2744731
2021-04-16,403.000000,418.549988,399.350006,412.850006,412.850006,5669099
2021-04-19,412.850006,412.850006,399.750000,406.350006,406.350006,4445076
2021-04-20,409.950012,409.950012,397.799988,401.149994,401.149994,4436026
2021-04-22,402.000000,404.750000,398.649994,399.350006,399.350006,3847504
2021-04-23,399.350006,403.350006,396.000000,397.600006,397.600006,3386298
2021-04-26,401.200012,401.200012,395.000000,395.500000,395.500000,2469336
2021-04-27,395.000000,399.049988,392.200012,398.100006,398.100006,4372334
2021-04-28,398.000000,399.799988,387.500000,390.850006,390.850006,11363709
2021-04-29,388.000000,402.250000,385.950012,393.899994,393.899994,13684521
2021-04-30,391.799988,391.799988,378.200012,379.649994,379.649994,9710688
2021-05-03,380.950012,381.850006,375.100006,378.500000,378.500000,3474482
2021-05-04,381.000000,382.149994,372.500000,373.200012,373.200012,3492859
2021-05-05,375.000000,382.600006,370.149994,381.299988,381.299988,6252361
2021-05-06,382.950012,384.399994,377.399994,379.700012,379.700012,3004849
2021-05-07,381.549988,383.950012,379.399994,381.149994,381.149994,2241936
2021-05-10,383.049988,387.450012,382.450012,384.500000,384.500000,3712233
2021-05-11,383.549988,391.649994,382.350006,387.649994,387.649994,4098740
2021-05-12,387.649994,390.500000,384.149994,385.450012,385.450012,2213659
2021-05-14,387.000000,392.899994,386.250000,388.799988,388.799988,3423148
2021-05-17,393.649994,393.649994,384.600006,385.799988,385.799988,2226281
2021-05-18,387.049988,388.149994,384.200012,385.000000,385.000000,1749322
2021-05-19,383.000000,387.500000,382.799988,386.649994,386.649994,2120283
2021-05-20,386.649994,388.399994,382.200012,383.549988,383.549988,1321922
2021-05-21,384.500000,386.399994,381.649994,382.500000,382.500000,1448078
2021-05-24,382.649994,384.549988,381.200012,383.450012,383.450012,1993913
2021-05-25,384.500000,385.600006,381.049988,381.549988,381.549988,1427832
2021-05-26,382.700012,386.450012,380.549988,383.049988,383.049988,2349815
2021-05-27,383.500000,384.850006,380.000000,381.899994,381.899994,3269387
2021-05-28,383.000000,386.200012,380.100006,382.149994,382.149994,2268969
2021-05-31,384.000000,389.600006,382.200012,388.200012,388.200012,3454331
2021-06-01,390.700012,391.450012,385.000000,385.850006,385.850006,1748372
2021-06-02,386.000000,389.200012,384.500000,388.100006,388.100006,2300520
2021-06-03,387.500000,387.850006,382.850006,385.100006,385.100006,2896950
2021-06-04,385.200012,387.799988,383.850006,384.899994,384.899994,1481960
2021-06-07,384.500000,392.000000,383.250000,389.049988,389.049988,3314421
2021-06-08,390.600006,403.250000,390.000000,402.450012,402.450012,6809356
2021-06-09,407.049988,415.649994,400.649994,404.500000,404.500000,9635843
2021-06-10,406.000000,415.500000,405.850006,414.750000,414.750000,4364390
